,SH,Category,Weight,Filling start,Alt filling start,Filling end,Pickup,Plate,Arrival,Unload,trip_id
56,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12860kg,2021-01-13T17:19:00Z,,2021-01-14T06:25:00Z,2021-01-14T08:42:00Z,IMV-333,2021-01-14T11:00:00Z,2021-01-14T12:46:00Z,28.0
57,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,7740kg,2021-01-11T05:25:00Z,,2021-01-13T15:51:00Z,2021-01-14T12:00:00Z,LOH-244,2021-01-14T15:53:00Z,2021-01-14T16:34:00Z,29.0
58,HK Scan Rauma,Sekatuote siipikarja luokka 3,15140kg,2021-01-14T08:37:00Z,,2021-01-14T09:46:00Z,2021-01-14T12:04:00Z,NLZ-735,2021-01-14T16:13:00Z,2021-01-14T17:19:00Z,30.0
59,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12360kg,2021-01-14T10:46:00Z,,2021-01-14T12:29:00Z,2021-01-14T16:23:00Z,TLY-876,2021-01-14T19:03:00Z,2021-01-14T20:57:00Z,31.0
60,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,16540kg,2021-01-14T09:02:00Z,,2021-01-14T10:39:00Z,2021-01-14T16:23:00Z,TLY-876,2021-01-14T19:03:00Z,2021-01-14T20:58:00Z,31.0
61,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12940kg,2021-01-14T12:37:00Z,,2021-01-14T14:19:00Z,2021-01-14T16:23:00Z,TLY-876,2021-01-14T19:03:00Z,2021-01-14T20:57:00Z,31.0
62,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14000kg,2021-01-14T14:19:00Z,,2021-01-14T16:15:00Z,2021-01-14T18:06:00Z,UBI-130,2021-01-14T22:23:00Z,2021-01-15T01:08:00Z,32.0
63,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13480kg,2021-01-14T16:15:00Z,,2021-01-14T17:49:00Z,2021-01-14T18:07:00Z,UBI-130,2021-01-14T23:04:00Z,2021-01-15T01:09:00Z,32.0
64,HK Scan Rauma,Sekatuote siipikarja luokka 3,13040kg,2021-01-14T12:19:00Z,,2021-01-14T15:07:00Z,2021-01-14T19:37:00Z,NLZ-735,2021-01-14T21:44:00Z,2021-01-14T23:29:00Z,33.0
65,HK Scan Rauma,Sekatuote siipikarja luokka 3,12960kg,2021-01-14T09:52:00Z,,2021-01-14T13:52:00Z,2021-01-14T19:38:00Z,NLZ-735,2021-01-14T22:00:00Z,2021-01-14T23:29:00Z,33.0
66,HK Scan Rauma,Sekatuote siipikarja luokka 3,14240kg,2021-01-14T13:52:00Z,,2021-01-14T18:41:00Z,2021-01-15T01:25:00Z,LOH-244,2021-01-15T03:59:00Z,2021-01-15T07:48:00Z,34.0
67,HK Scan Rauma,Sekatuote siipikarja luokka 3,13940kg,2021-01-14T15:07:00Z,,2021-01-14T16:32:00Z,2021-01-15T01:25:00Z,LOH-244,2021-01-15T03:30:00Z,2021-01-15T07:47:00Z,34.0
68,HK Scan Rauma,Sekatuote siipikarja luokka 3,15420kg,2021-01-14T16:37:00Z,,2021-01-14T23:15:00Z,2021-01-15T08:41:00Z,LOH-244,2021-01-15T10:42:00Z,2021-01-15T11:41:00Z,35.0
69,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12600kg,2021-01-14T17:49:00Z,,2021-01-15T07:11:00Z,2021-01-15T10:15:00Z,IMV-333,2021-01-15T12:27:00Z,2021-01-15T13:59:00Z,36.0
70,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13920kg,2021-01-14T06:33:00Z,,2021-01-15T07:11:00Z,2021-01-15T10:16:00Z,IMV-333,2021-01-15T13:00:00Z,2021-01-15T14:00:00Z,36.0
71,HK Scan Rauma,Sekatuote siipikarja luokka 3,15520kg,2021-01-15T09:22:00Z,,2021-01-15T10:49:00Z,2021-01-15T10:50:00Z,NLZ-735,2021-01-15T13:20:00Z,2021-01-15T15:24:00Z,37.0
72,HK Scan Rauma,Sekatuote siipikarja luokka 3,16660kg,2021-01-15T05:43:00Z,,2021-01-15T08:59:00Z,2021-01-15T10:50:00Z,NLZ-735,2021-01-15T13:20:00Z,2021-01-15T15:24:00Z,37.0
73,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13720kg,2021-01-15T07:21:00Z,,2021-01-15T09:29:00Z,2021-01-15T12:12:00Z,VZR-635,2021-01-15T15:06:00Z,2021-01-15T15:54:00Z,38.0
74,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13100kg,2021-01-15T09:38:00Z,,2021-01-15T11:15:00Z,2021-01-15T12:12:00Z,VZR-635,2021-01-15T14:21:00Z,2021-01-15T15:54:00Z,38.0
75,HK Scan Rauma,Sekatuote siipikarja luokka 3,13880kg,2021-01-15T14:45:00Z,,2021-01-15T16:20:00Z,2021-01-15T18:23:00Z,VZR-635,2021-01-15T20:52:00Z,2021-01-15T21:28:00Z,39.0
76,HK Scan Rauma,Sekatuote siipikarja luokka 3,14760kg,2021-01-15T10:56:00Z,,2021-01-15T14:45:00Z,2021-01-15T18:23:00Z,VZR-635,2021-01-15T20:43:00Z,2021-01-15T21:28:00Z,39.0
77,HK Scan Rauma,Sekatuote siipikarja luokka 3,14220kg,2021-01-15T09:05:00Z,,2021-01-15T13:05:00Z,2021-01-15T18:23:00Z,VZR-635,2021-01-15T20:32:00Z,2021-01-15T21:28:00Z,39.0
78,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14000kg,2021-01-15T13:18:00Z,,2021-01-15T15:34:00Z,2021-01-15T18:36:00Z,LOH-244,2021-01-15T21:15:00Z,2021-01-15T21:53:00Z,40.0
79,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14200kg,2021-01-15T15:34:00Z,,2021-01-15T17:16:00Z,2021-01-15T18:36:00Z,LOH-244,2021-01-15T20:54:00Z,2021-01-15T21:53:00Z,40.0
80,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13760kg,2021-01-15T11:22:00Z,,2021-01-15T13:18:00Z,2021-01-15T18:36:00Z,LOH-244,2021-01-15T20:35:00Z,2021-01-15T21:52:00Z,40.0
81,HK Scan Rauma,"Varpaat, Siipikarja, Luokka 3",12240kg,2021-01-15T05:44:00Z,,2021-01-15T20:54:00Z,2021-01-15T19:15:00Z,NLZ-735,2021-01-15T23:33:00Z,2021-01-16T01:09:00Z,41.0
